filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,block_util_avg,block_util_max,block_await_avg,block_await_max,block_r_await_avg,block_w_await_avg,block_rkB_s_avg,block_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
f2fs,10240,scenario_a,1,10000,180,30,8,False,False,5,363493,2421.19,24.2,438285,0,13.75,10.21,29.9,61.66,98.16,153.58,15.423026315789473,100.4,5.737763157894737,22.53,0.05921052631578947,5.737763157894737,0.0,23701.55789473684,8.138157894736842,56.88815789473684,34.33552631578947,0.5986842105263158,False,disk await avg 5.74 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_10240B_10000ops_measure_vmstat.txt.gz
f2fs,10240,scenario_b,1,10000,180,30,8,True,False,5,370314,2462.95,24.6,445195,0,14.38,10.0,31.87,73.21,124.57,336.32,17.089802631578948,110.5,5.131776315789474,23.25,0.039473684210526314,5.131776315789474,0.0,27778.290526315788,10.552631578947368,55.69736842105263,33.10526315789474,0.5855263157894737,False,disk await avg 5.13 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_10240B_10000ops_measure_vmstat.txt.gz
f2fs,10240,scenario_a_dynamic,1,10000,180,30,8,False,True,5,341916,2277.1,22.8,414200,0,21.25,16.67,45.12,81.04,121.1,207.96,39.36565789473684,78.5,9.573486842105263,16.31,0.46710526315789475,9.573486842105263,0.0,23061.423157894737,9.282894736842104,56.55921052631579,30.55921052631579,3.6973684210526314,False,disk await avg 9.57 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_10240B_10000ops_measure_vmstat.txt.gz
f2fs,10240,scenario_b_dynamic,1,10000,180,30,8,True,True,5,348689,2322.41,23.2,421141,0,20.6,15.7,44.97,81.26,118.85,189.49,38.45092105263158,71.39,9.521842105263158,14.13,0.42105263157894735,9.521842105263158,0.0,23790.686315789473,11.357615894039736,55.6953642384106,29.450331125827816,3.4304635761589406,False,disk await avg 9.52 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_10240B_10000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_a,1,1000,180,30,8,False,False,5,114147,759.71,76.0,136452,0,7.56,5.69,16.5,31.9,53.34,90.38,26.67888157894737,97.7,7.366233552631579,18.89,0.3717105263157895,7.366118421052631,0.06736842105263158,79397.79368421053,6.901315789473684,42.526315789473685,49.69736842105263,0.7631578947368421,False,disk await avg 7.37 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_102400B_1000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_b,1,1000,180,30,8,True,False,5,112511,748.75,74.9,134128,0,7.5,5.42,16.48,33.36,55.57,112.22,25.76782894736842,98.22,7.514276315789473,24.22,0.5986842105263158,7.514276315789473,0.0,78664.96,10.618421052631579,43.953947368421055,44.82236842105263,0.7105263157894737,False,disk await avg 7.51 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_102400B_1000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_a_dynamic,1,1000,180,30,8,False,True,5,110691,737.01,73.7,131993,0,9.99,7.41,21.99,43.72,70.03,123.22,48.30403973509934,100.4,9.658865225757792,16.92,0.48344370860927155,9.658874172185431,0.06781456953642384,75798.98913907284,8.52980132450331,47.741721854304636,40.00662251655629,3.7549668874172184,False,disk await avg 9.66 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_102400B_1000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_b_dynamic,1,1000,180,30,8,True,True,5,109588,730.21,73.0,130469,0,9.79,7.03,21.86,44.13,69.13,193.94,45.6717880794702,79.3,9.249074160673246,15.88,0.6423841059602649,9.24907284768212,0.06781456953642384,74822.45933774834,11.900662251655628,47.9271523178808,36.80794701986755,3.3112582781456954,False,disk await avg 9.25 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_102400B_1000ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_a,1,100,180,30,8,False,False,5,13983,93.12,93.1,16745,0,12.41,7.14,29.26,56.17,82.48,120.11,25.234802631578948,96.8,6.684868421052632,26.73,0.5263157894736842,6.684868421052632,0.0,93770.57684210526,5.0,16.38157894736842,77.96710526315789,0.5592105263157895,False,disk await avg 6.68 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_b,1,100,180,30,8,True,False,5,13898,92.55,92.6,16628,0,13.95,9.75,29.93,55.88,94.03,152.77,26.228355263157894,97.0,7.629471841118627,23.64,0.5296052631578947,7.629473684210526,0.06736842105263158,93301.08631578948,8.460526315789474,22.092105263157894,68.74342105263158,0.5657894736842105,False,disk await avg 7.63 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_a_dynamic,1,100,180,30,8,False,True,5,13874,92.44,92.4,16621,0,15.72,10.34,35.48,66.02,94.82,125.71,39.20880794701987,78.42,8.308006477384644,20.26,0.8278145695364238,8.308013245033113,0.06781456953642384,94079.28794701987,6.701986754966887,22.28476821192053,68.41721854304636,2.6887417218543046,False,disk await avg 8.31 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_dynamic_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_b_dynamic,1,100,180,30,8,True,True,5,13810,91.97,92.0,16529,0,17.21,12.76,36.06,65.27,103.38,147.32,41.50370860927152,83.47,8.415761589403974,17.81,0.7748344370860927,8.415761589403974,0.0,93693.89774834437,10.735099337748345,28.774834437086092,57.741721854304636,2.834437086092715,False,disk await avg 8.42 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_dynamic_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_1024000B_100ops_measure_vmstat.txt.gz
