filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024000,scenario_a,2,200,120,30,16,False,False,5,15049,124.69,62.3,20413,16,4.44,0.18,4.16,112.38,340.23,579.51,66.56141666666667,97.8,0.0,0.0,0.0,6.324333333333334,0.0,0.0,17.5,30.058333333333334,41.725,10.791666666666666,False,cpu iowait avg 10.79% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_a_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,3,200,120,30,16,False,False,5,14894,123.47,61.7,20258,0,14.72,0.2,20.24,290.37,490.87,746.23,71.25166666666667,96.9,0.0,0.0,0.0,6.6415,0.0,0.0,19.333333333333332,31.725,37.68333333333333,11.225,False,cpu iowait avg 11.22% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_a_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,4,200,120,30,16,False,False,5,15087,125.6,62.8,20367,0,12.75,0.18,11.2,290.72,494.34,710.25,72.25330508474576,98.8,0.0,0.0,0.0,6.653220338983051,0.0,0.0,19.53448275862069,32.31896551724138,36.31896551724138,11.78448275862069,False,cpu iowait avg 11.78% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_a_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,5,200,120,30,16,False,False,5,14667,122.12,61.1,20008,0,17.51,0.2,22.7,339.91,466.13,716.78,72.14275,96.7,0.0,0.0,0.0,6.334416666666667,0.0,0.0,19.308333333333334,31.35,37.85,11.4,False,cpu iowait avg 11.40% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_a_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,1,200,120,30,16,True,True,5,13053,135.8,67.9,18296,0,31.55,0.2,69.32,527.93,755.99,987.18,93.61144329896908,98.5,0.0,0.0,4.750824742268041,9.18659793814433,0.0,0.0,26.608247422680414,42.31958762886598,16.77319587628866,14.309278350515465,True,disk util avg 93.61% >= 80.00% | cpu iowait avg 14.31% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_b_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,2,200,120,30,16,True,True,5,14157,117.7,58.8,19428,0,20.46,0.19,25.49,416.02,692.55,888.62,78.5328205128205,99.2,0.0,0.0,3.784017094017094,7.525384615384615,0.0,0.0,23.008849557522122,36.76106194690266,27.58407079646018,12.619469026548673,False,cpu iowait avg 12.62% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_b_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,3,200,120,30,16,True,True,5,13273,138.28,69.1,18505,0,29.58,0.19,62.94,507.5,786.49,1089.77,93.70072164948454,98.1,0.0,0.0,5.11659793814433,9.438762886597939,0.0,0.0,26.329896907216494,42.94845360824742,16.36082474226804,14.350515463917526,True,disk util avg 93.70% >= 80.00% | cpu iowait avg 14.35% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_b_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,4,200,120,30,16,True,True,5,13751,143.66,71.8,19044,0,23.8,0.2,42.73,457.79,684.86,1033.28,93.39711340206186,98.0,0.0,0.0,4.96041237113402,9.441134020618557,0.0,0.0,26.948453608247423,43.21649484536083,15.68041237113402,14.195876288659793,True,disk util avg 93.40% >= 80.00% | cpu iowait avg 14.20% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_b_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_1024000B_200ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,5,200,120,30,16,True,True,5,13071,136.43,68.2,18296,0,30.96,0.19,61.64,527.52,789.11,1027.73,93.5721649484536,98.12,0.0,0.0,5.324742268041237,9.610824742268042,0.0,0.0,26.298969072164947,42.381443298969074,16.309278350515463,14.927835051546392,True,disk util avg 93.57% >= 80.00% | cpu iowait avg 14.93% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_b_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_1024000B_200ops_measure_vmstat.txt.gz
f2fs,1024,scenario_a,1,200000,120,30,16,False,False,5,334680,3714.66,1.9,455441,0,0.17,0.0,0.01,5.27,15.32,50.15,71.13153846153845,82.0,0.0,0.0,0.0,6.585054945054945,0.0,0.0,5.43956043956044,56.79120879120879,29.934065934065934,7.8791208791208796,False,cpu iowait avg 7.88% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_f2fs_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_f2fs_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_f2fs_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
