procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 8561448   5580 1633660    0    0     0 142852 3397 7061  4 65 28  3  0  0
 6  0      0 8548372   5580 1647168    0    0     0    16 5684 9684  5 46 49  0  0  0
 6  0      0 8535764   5580 1660440    0    0     0    16 5379 9455  5 48 47  0  0  0
 7  0      0 8521692   5580 1673816    0    0     0    16 5580 9690  5 48 47  0  0  0
 5  0      0 8508616   5588 1686740    0    0     0    32 5169 9103  5 49 46  0  0  0
 8  0      0 8495260   5588 1699892    0    0     0   296 5433 9545  5 46 49  0  0  0
 5  0      0 8481456   5588 1712952    0    0     0    24 5374 9413  5 46 49  0  0  0
 9  0      0 8468856   5588 1726084    0    0     0    16 5494 9422  6 47 48  0  0  0
10  0      0 8455248   5588 1739724    0    0     0    16 5349 9267  5 49 46  0  0  0
 8  0      0 8440940   5592 1753292    0    0     0    40 5245 9307  5 48 47  0  0  0
 8  0      0 8427332   5596 1766640    0    0     0   344 5257 9480  5 50 45  1  0  0
10  0      0 8414256   5596 1779376    0    0     0    16 5008 8979  4 48 47  0  0  0
 4  0      0 8401152   5596 1792704    0    0     0    16 5083 9068  5 50 45  0  0  0
 9  0      0 8388048   5596 1805912    0    0     0    16 5210 9182  6 49 45  0  0  0
 4  0      0 8375224   5604 1818608    0    0     0    44 5075 9032  5 48 47  1  0  0
 7  0      0 8362120   5604 1831504    0    0     0   292 5161 9047  4 49 46  0  0  0
 2  0      0 8349268   5604 1844680    0    0     0    16 5092 9143  5 51 45  0  0  0
 5  0      0 8335688   5604 1857804    0    0     0    16 5065 9157  5 50 44  0  0  0
 2  0      0 8322836   5604 1870544    0    0     0    16 4872 8771  6 49 44  0  0  0
 5  0      0 8310024   5604 1883744    0    0     0    16 5327 9316  4 50 45  0  0  0
 3  0      0 8297676   5612 1895212    0    0     4   296 4429 8247  4 48 47  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 8284572   5612 1908660    0    0     0    16 5007 8991  5 51 44  0  0  0
 2  0      0 8270740   5612 1921840    0    0     0    16 5205 9299  6 47 47  0  0  0
 5  0      0 8257412   5612 1934528    0    0     0    16 5153 9099  5 49 45  0  0  0
 1  0      0 8245064   5612 1947732    0    0     0    16 5185 9221  4 50 46  0  0  0
 2  0      0 8231960   5620 1960524    0    0     0 21084 5080 9043  5 51 42  1  0  0
 6  0      0 8218196   5620 1972996    0    0     0 10928 4790 8786  5 50 45  0  0  0
 6  0      0 8204672   5620 1984100    0    0     0 137240 3388 7536  4 67 28  1  0  0
 6  1      0 8192660   5620 1995108    0    0     0 148820 3245 7133  5 67 27  1  0  0
10  0      0 8181388   5620 2005984    0    0     0 167784 3243 7182  3 67 27  3  0  0
 5  0      0 8166520   5628 2017056    0    0     0 102692 3770 7743  4 60 34  2  0  0
 6  0      0 8153416   5628 2030112    0    0     0    16 5227 9289  5 46 48  0  0  0
 2  0      0 8140340   5628 2043568    0    0     0    16 5338 9439  5 49 46  0  0  0
 7  0      0 8127488   5628 2056444    0    0     0    16 5290 9194  6 48 46  1  0  0
 3  0      0 8113880   5628 2069200    0    0     0    20 5036 9163  5 48 46  0  0  0
 3  0      0 8101084   5636 2081584    0    0     0   308 4785 8759  5 49 45  1  0  0
 5  0      0 8088512   5636 2094240    0    0     0    32 5007 8939  5 48 47  0  0  0
 9  0      0 8075436   5636 2106684    0    0     0    16 5095 8870  5 49 46  0  0  0
 3  0      0 8062332   5636 2120032    0    0     0    16 4984 9082  5 49 46  0  0  0
 5  0      0 8049480   5636 2133072    0    0     0    16 5131 9148  5 47 48  0  0  0
 2  0      0 8036880   5636 2145444    0    0     0   280 5027 8957  4 50 45  1  0  0
 8  0      0 8023776   5644 2158332    0    0     0    60 5079 9049  5 49 46  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 8011176   5644 2170880    0    0     0    16 4862 8805  4 49 46  0  0  0
 4  0      0 7998324   5644 2184340    0    0     0    16 5083 9179  5 51 44  0  0  0
 8  0      0 7985500   5644 2196732    0    0     0    16 5227 9254  4 49 47  0  0  0
 3  0      0 7972396   5644 2209848    0    0     0   276 5232 9192  4 50 45  0  0  0
 5  0      0 7959052   5652 2222616    0    0     0   144 5018 9044  5 51 44  0  0  0
 7  0      0 7945976   5652 2235860    0    0     0    16 5209 9097  6 48 46  0  0  0
 5  0      0 7931400   5652 2249568    0    0     0    16 5534 9551  6 48 46  0  0  0
 5  0      0 7918560   5652 2262748    0    0     0    16 5147 9267  5 48 47  0  0  0
 4  0      0 7905960   5652 2274700    0    0     0   280 4698 8534  4 49 46  0  0  0
 3  0      0 7893360   5660 2287688    0    0     0   248 5091 9026  5 49 45  1  0  0
11  0      0 7880508   5660 2299940    0    0     0    16 5413 9142  5 45 50  0  0  0
 5  0      0 7867460   5660 2312652    0    0     0    16 5028 9019  4 49 47  0  0  0
 4  0      0 7854888   5660 2325328    0    0     0    16 5314 9298  5 46 48  0  0  0
 6  0      0 7842540   5660 2338184    0    0     0   280 5155 9017  5 48 46  1  0  0
 1  0      0 7829240   5668 2350828    0    0     0    52 5100 8989  5 47 49  0  0  0
 5  0      0 7815912   5668 2363464    0    0     0    16 5063 8972  4 50 46  0  0  0
10  0      0 7803816   5668 2376248    0    0     0   192 4920 8968  5 52 43  0  0  0
 4  0      0 7790712   5668 2389076    0    0     0    16 4933 8888  5 46 49  0  0  0
 6  0      0 7778364   5668 2401312    0    0     0   272 4703 8516  4 49 46  0  0  0
 3  0      0 7764756   5676 2414780    0    0     0    32 5344 9465  7 47 46  0  0  0
11  0      0 7752660   5676 2426536    0    0     0    20 4693 8349  5 50 45  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 7740564   5676 2438880    0    0     0    24 4757 8522  6 49 45  0  0  0
 1  0      0 7727460   5676 2451416    0    0     0    16 5105 9027  4 50 46  0  0  0
 3  0      0 7714116   5676 2464108    0    0     0   276 4905 8777  5 50 44  0  0  0
 9  0      0 7685388   5684 2477088    0    0     0    52 5384 9238  6 48 46  0  0  0
11  0      0 7645824   5684 2490272    0    0     0    16 5278 9313  5 49 46  0  0  0
 8  0      0 7607016   5684 2503284    0    0     0    16 5121 9066  5 48 47  0  0  0
 9  0      0 7565436   5684 2516472    0    0     0    16 5287 9309  4 52 43  0  0  0
 5  0      0 7526628   5684 2529016    0    0     0 16720 4916 8737  4 51 44  1  0  0
11  0      0 7485804   5692 2542160    0    0     0 13216 4945 8972  5 55 40  0  0  0
 6  0      0 7445712   5696 2556192    0    0     0 28772 5081 9122  6 51 44  0  0  0
 7  0      0 7404144   5696 2570092    0    0     0    16 5617 9659  6 49 45  0  0  0
 3  0      0 7364532   5696 2583900    0    0     0 12432 5319 9342  5 50 44  0  0  0
11  0      0 7325512   5696 2596124    0    0     0 21068 4988 8795  4 51 44  1  0  0
 7  0      0 7286228   5704 2608768    0    0     0 16452 5086 9056  4 51 44  1  0  0
10  0      0 7247012   5704 2621388    0    0     0 47832 4497 8433  4 56 40  1  0  0
