procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0     12 181560   1768 8922820    0    0     0 146620 5541 11685 17 54 28  1  0  0
 9  0     12 151896   1768 8954200    0    0     0 201340 5256 11059 15 59 25  1  0  0
 8  0     12 223608   1768 8881692    0    0     0 274508 4993 11366 16 59 25  0  0  0
 9  0     12 181404   1768 8925348    0    0     0 142596 6180 12273 18 52 30  1  0  0
10  0     12 220164   1784 8882776    0    0    60   104 7366 13437 18 45 37  0  0  0
10  0     12 175464   1784 8928316    0    0     0 92024 6523 12644 16 49 34  0  0  0
 8  0     12 142636   1784 8960960    0    0     8 176864 5380 11449 16 58 25  1  0  0
12  0     12 204440   1784 8899120    0    0     0 143996 5839 11818 17 52 30  1  0  0
 6  0     12 157756   1784 8943944    0    0     0 110596 6401 12290 17 50 32  0  0  0
 7  0     12 218296   1784 8880776    0    0     0 139456 6218 12181 17 52 31  1  0  0
 2  0     12 175684   1792 8923944    0    0     0 130564 5761 12218 18 53 29  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0     12 139608   1792 8956996    0    0     0 142132 5451 11429 16 54 28  1  0  0
14  0     12 219852   1792 8880420    0    0     0 265256 4914 10895 14 59 26  1  0  0
 9  1     12 176212   1792 8915616    0    0     0 141712 5442 11409 18 51 30  1  0  0
13  1     12 220320   1792 8869924    0    0     0  7248 7409 13081 18 46 36  0  0  0
 7  0     12 173812   1800 8916752    0    0     0 147512 6105 12463 18 54 27  1  0  0
 5  1     12 135920   1800 8955052    0    0     4 137032 6123 11775 15 53 31  1  0  0
11  1     12 207312   1800 8884016    0    0     0 208912 5127 11311 14 60 26  0  0  0
10  0     12 153520   1800 8935080    0    0     0 109760 6945 12986 16 48 35  1  0  0
11  0     12 209036   1800 8873944    0    0     0 131512 6042 12265 16 54 30  0  0  0
 8  0     12 178520   1808 8904668    0    0     0 144548 5619 11173 16 55 28  1  0  0
 2  0     12 133048   1808 8948016    0    0     4 106644 6372 12588 16 50 33  1  0  0
 2  0     12 199528   1808 8882744    0    0     0 156968 5647 11552 17 54 29  0  0  0
 7  0     12 178784   1808 8902768    0    0     0 279244 4731 10553 18 52 30  0  0  0
10  0     12 152420   1808 8929632    0    0     0 280336 4556 10980 14 62 22  1  0  0
 3  0     12 201168   1816 8880128    0    0     0  9356 6994 12952 18 47 35  0  0  0
 7  0     12 152480   1816 8930256    0    0     0  3096 6789 12634 18 47 34  1  0  0
 9  0     12 208900   1816 8865836    0    0     0 136088 5866 11703 18 51 30  1  0  0
 7  0     12 183372   1816 8890252    0    0     0 235288 5002 10488 15 59 25  1  0  0
 6  0     12 132780   1816 8939688    0    0     0 103956 6718 13234 23 46 31  1  0  0
10  0     12 216396   1828 8856604    0    0     4 306760 4002 10771 18 62 18  2  0  0
10  0     12 201544   1828 8870996    0    0     0 275076 4357 10310 15 63 19  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0     12 183208   1828 8889540    0    0     0 234632 4765 10925 17 57 24  2  0  0
 8  0     12 223428   1828 8847508    0    0     0    16 7282 13353 17 46 36  0  0  0
 8  0     12 166816   1828 8905548    0    0     0    64 7225 13180 18 46 36  0  0  0
12  0     12 205888   1836 8866312    0    0     0    68 7376 13723 19 47 35  0  0  0
 6  0     12 167268   1836 8904624    0    0     0 101588 5796 11679 17 52 30  2  0  0
 6  0     12 224924   1836 8846692    0    0     0 133964 5817 11978 17 53 30  1  0  0
10  0     12 189076   1836 8883060    0    0     0 170496 5362 11498 17 52 30  1  0  0
 9  1     12 164900   1836 8906592    0    0     0 293880 4760 10656 15 60 24  1  0  0
11  0     12 199600   1844 8871696    0    0     0 160104 5723 11870 17 52 29  1  0  0
10  0     12 171240   1844 8899324    0    0     0  3168 7601 13450 18 45 37  0  0  0
17  0     12 167552   1844 8904120    0    0     0 69864 6090 11950 18 51 31  0  0  0
 3  0     12 184776   1844 8887440    0    0     0 135224 6083 12229 16 51 32  1  0  0
12  0     12 163512   1844 8907620    0    0     0 265792 4660 10634 16 60 23  0  0  0
17  0     12 146904   1852 8924324    0    0     0 277568 4382 10642 14 62 23  1  0  0
 9  0     12 216264   1852 8855668    0    0     4 202664 5119 11677 18 58 23  1  0  0
11  0     12 156508   1852 8914944    0    0     0    64 7592 13475 19 45 36  0  0  0
 5  0     12 209768   1852 8861516    0    0     0    16 6783 12610 18 45 37  0  0  0
 8  0     12 156948   1852 8912700    0    0     0 87160 6506 12457 19 49 32  0  0  0
 3  0     12 217420   1860 8853348    0    0     0 158240 5727 12002 18 54 28  1  0  0
10  0     12 179448   1860 8891332    0    0     0 122364 6169 12119 18 51 30  1  0  0
 7  0     12 144300   1860 8927276    0    0     0 140232 5631 11664 15 56 29  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0     12 207556   1860 8862940    0    0     0 149056 5668 11718 17 56 27  1  0  0
 9  0     12 172212   1860 8895764    0    0     0 228452 5279 11314 16 58 26  1  0  0
 8  0     12 135808   1872 8933920    0    0     0 211760 5408 12032 16 57 26  1  0  0
10  0     12 187512   1872 8882156    0    0     8  2972 6608 12449 17 48 35  1  0  0
 5  0     12 1495884   1872 8836600    0    0    28 69692 5160 8864 25 29 45  0  0  0
 0  0     12 2054360   1872 8836700    0    0    16    16 3027 2829 11  4 85  0  0  0
 0  0     12 2053100   1872 8836712    0    0     0     0 1635 1268  1  1 98  0  0  0
 1  0     12 2053100   1880 8836724    0    0     0    76 1069  733  0  1 99  0  0  0
 2  0     12 2053100   1880 8836724    0    0     0     0  657  448  0  1 99  0  0  0
 3  1     12 2052900   1880 8837156    0    0     0 208940 1462  877  1  4 94  1  0  0
 0  1     12 2049832   1880 8838312    0    0     0 580732 3000 1455  1 15 80  4  0  0
 1  1     12 2047828   1880 8838640    0    0   172 190084 3846 2230  1 17 77  5  0  0
 1  0     12 2047828   1888 8838696    0    0    36 214932 3910 2095  1 14 80  6  0  0
 1  0     12 2047828   1888 8838700    0    0     0 62056 1729  953  2  3 94  1  0  0
 0  0     12 2047828   1892 8838704    0    0     0   172  772  470  0  1 99  0  0  0
 0  0     12 2046568   1892 8838708    0    0     0     0 1247  768  0  1 99  0  0  0
 0  0     12 2044808   1892 8838716    0    0     0   172 1130  744  0  1 99  0  0  0
 0  0     12 2044808   1904 8838728    0    0     0    72 1042  689  0  1 99  0  0  0
 0  0     12 2044808   1904 8838728    0    0     0     0  849  545  0  1 99  0  0  0
 0  0     12 2044808   1904 8838728    0    0     0    52  723  460  0  0 100  0  0  0
 0  0     12 2043800   1904 8838736    0    0     0     0 1492  974  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 2042544   1904 8838744    0    0     0     0 1421  904  0  1 99  0  0  0
 0  0     12 2042544   1916 8838732    0    0     0    48  927  547  0  1 99  0  0  0
 1  0     12 2042544   1916 8838752    0    0     0     0  818  517  0  0 100  0  0  0
 1  0     12 2042544   1916 8838760    0    0     0    52 1175  915  0  1 99  0  0  0
 0  0     12 2042544   1916 8838772    0    0     0     0 1255  829  1  1 98  0  0  0
 0  0     12 2042544   1916 8838780    0    0     0     0 1108  736  0  1 99  0  0  0
 0  0     12 2042544   1928 8838784    0    0     0    44  833  555  0  0 99  0  0  0
 1  0     12 2042544   1932 8838784    0    0     0   188  809  508  0  0 100  0  0  0
 3  0     12 2042544   1932 8838792    0    0     0     0  844  582  0  0 99  0  0  0
 1  0     12 2042292   1932 8838800    0    0     0     0 1077  722  0  2 98  0  0  0
 1  0     12 2042292   1932 8838800    0    0     0     0 1105  752  0  0 99  0  0  0
 1  0     12 2042292   1944 8838808    0    0     0    60  839  531  0  0 99  0  0  0
 2  0     12 2042292   1944 8838816    0    0     0    68  924  587  0  1 99  0  0  0
 0  0     12 2041536   1944 8838832    0    0     0     0 1625 1161  0  1 99  0  0  0
 1  0     12 2041536   1944 8838832    0    0     8     0  784  554  0  1 99  0  0  0
 2  0     12 2041284   1944 8838848    0    0     0     0 1026  643  0  1 99  0  0  0
 1  0     12 2041284   1956 8838848    0    0     0    44  880  501  0  0 100  0  0  0
 0  0     12 2041284   1956 8838852    0    0     0  2100  765  465  0  1 99  0  0  0
 2  0     12 2040528   1956 8838860    0    0     0    40 1024  653  0  0 100  0  0  0
 0  0     12 2039772   1956 8838860    0    0     0     0 1081  693  0  1 99  0  0  0
 3  0     12 2039772   1956 8838868    0    0     0     4  858  543  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 2039772   1964 8838880    0    0     0  6704  794  489  0  0 100  0  0  0
 1  0     12 2039016   1964 8838880    0    0     0     0  731  456  0  0 99  0  0  0
 3  0     12 2038012   1964 8838904    0    0     0     0  889  557  0  1 99  0  0  0
 0  0     12 2038012   1964 8838912    0    0     0     0 1724  873  0  1 99  0  0  0
 0  0     12 2038012   1972 8838912    0    0     0    20  658  442  0  0 99  0  0  0
 1  0     12 2038012   1972 8838912    0    0     0     0  658  421  0  0 100  0  0  0
 1  0     12 2036752   1972 8838924    0    0     0     0 1025  622  0  1 99  0  0  0
 0  0     12 2035996   1972 8838932    0    0     0     0 1485  995  0  1 98  0  0  0
 0  0     12 2035996   1972 8838932    0    0     0     0  701  484  0  0 100  0  0  0
 1  0     12 2035996   1980 8838924    0    0     0    20  754  405  0  0 100  0  0  0
 2  0     12 2035996   1980 8838940    0    0     0     0  850  544  0  0 100  0  0  0
 2  0     12 2034236   1980 8838940    0    0     0     0 1199  707  0  0 99  0  0  0
 1  0     12 2033480   1980 8839036    0    0     0     0 1046  684  0  1 99  0  0  0
 2  0     12 2033480   1980 8839036    0    0     0     0  530  365  0  0 100  0  0  0
 2  0     12 2033480   1988 8839036    0    0     0    28  762  561  0  0 100  0  0  0
 1  0     12 2032864   1988 8839128    0    0     0     0  977  606  0  1 99  0  0  0
 0  0     12 2033844   1988 8839128    0    0     0     0  927  658  0  0 99  0  0  0
 1  0     12 2034012   1988 8839140    0    0     0     0  684  364  0  0 100  0  0  0
 0  0     12 2034012   1988 8839140    0    0     0     0  821  429  0  0 100  0  0  0
 0  0     12 2034012   1996 8839140    0    0     0    24  823  463  0  0 99  0  0  0
 0  0     12 2033256   1996 8839140    0    0     0   152 1269  670  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 2033256   1996 8839156    0    0     4     0 1202  743  1  1 98  0  0  0
 0  0     12 2033256   1996 8839160    0    0     0     0  956  565  0  0 99  0  0  0
 0  0     12 2033256   2008 8839160    0    0     0    48 1259  876  0  1 99  0  0  0
 0  0     12 2033256   2008 8839168    0    0     0     0 1057  701  0  1 99  0  0  0
 0  0     12 2033004   2008 8839172    0    0     0   276 1214  658  0  1 99  0  0  0
 0  0     12 2033028   2008 8839184    0    0     0     0 1243  753  0  1 99  0  0  0
 0  0     12 2033028   2008 8839184    0    0     0     0  713  426  0  1 99  0  0  0
 1  0     12 2033028   2008 8839184    0    0     0     0 1204  923  0  1 99  0  0  0
 0  0     12 2033028   2020 8839192    0    0     0    76  799  451  0  1 99  0  0  0
 1  0     12 2033028   2020 8839192    0    0     0    76 1508  654  1  1 99  0  0  0
 1  0     12 2032776   2020 8839200    0    0     0   180 1105  626  0  1 99  0  0  0
 0  0     12 2032776   2020 8839200    0    0     0     0  768  438  0  0 100  0  0  0
 0  1     12 2032776   2032 8839200    0    0     0    64  715  453  0  0 100  0  0  0
 0  0     12 2032776   2032 8839200    0    0     0     0  733  383  0  0 100  0  0  0
 0  0     12 2032776   2032 8839208    0    0     0    56 1015  546  1  1 99  0  0  0
 0  0     12 2032776   2032 8839212    0    0     0     0 1129  699  0  1 99  0  0  0
 1  0     12 2032776   2032 8839212    0    0     0     0  684  374  0  0 100  0  0  0
 2  0     12 2032776   2044 8839220    0    0     0    44  770  428  0  0 100  0  0  0
 1  0     12 2032776   2044 8839220    0    0     0     0  699  383  0  0 100  0  0  0
 2  0     12 2033032   2044 8839220    0    0     0    40 1055  578  0  1 99  0  0  0
 2  0     12 2032792   2044 8839244    0    0     0     0  948  559  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 2032792   2044 8839244    0    0     0     0  651  392  0  0 100  0  0  0
 1  0     12 2032792   2056 8839232    0    0     0    52  574  346  0  0 100  0  0  0
 0  0     12 2032988   2056 8839240    0    0     0     0  966  485  0  1 99  0  0  0
 1  0     12 2033548   2056 8839256    0    0     0    48 1677 1317  0  2 98  0  0  0
 1  0     12 2033548   2056 8839264    0    0     0     0  862  461  0  0 100  0  0  0
 1  0     12 2033548   2056 8839264    0    0     0     0 1193  850  0  1 99  0  0  0
 1  0     12 2033548   2056 8839272    0    0     0     0  736  370  0  0 100  0  0  0
